Nom;Poste;Date;Vitesse_m.s-1
Piton-Bloc;97405420;28/08/2016;2.8
Piton-Bloc;97405420;29/08/2016;3.0
Piton-Bloc;97405420;30/08/2016;2.8
Piton-Bloc;97405420;31/08/2016;2.7
Piton-Bloc;97405420;01/09/2016;2.8
Piton-Bloc;97405420;02/09/2016;1.1
Piton-Bloc;97405420;03/09/2016;0.9
Piton-Bloc;97405420;04/09/2016;1.5
Piton-Bloc;97405420;05/09/2016;2.1
Piton-Bloc;97405420;06/09/2016;1.0
Piton-Bloc;97405420;07/09/2016;1.0
Piton-Bloc;97405420;08/09/2016;1.0
Piton-Bloc;97405420;09/09/2016;1.1
Piton-Bloc;97405420;10/09/2016;1.0
Piton-Bloc;97405420;11/09/2016;1.8
Piton-Bloc;97405420;12/09/2016;1.1
Piton-Bloc;97405420;13/09/2016;1.8
Piton-Bloc;97405420;14/09/2016;1.9
Piton-Bloc;97405420;15/09/2016;1.0
Piton-Bloc;97405420;16/09/2016;1.6
Piton-Bloc;97405420;17/09/2016;2.5
Piton-Bloc;97405420;18/09/2016;2.4
Piton-Bloc;97405420;19/09/2016;2.0
Piton-Bloc;97405420;20/09/2016;1.3
Piton-Bloc;97405420;21/09/2016;1.0
Piton-Bloc;97405420;22/09/2016;1.0
Piton-Bloc;97405420;23/09/2016;0.9
Piton-Bloc;97405420;24/09/2016;1.0
Piton-Bloc;97405420;25/09/2016;1.1
Piton-Bloc;97405420;26/09/2016;1.1
Piton-Bloc;97405420;27/09/2016;1.4
Piton-Bloc;97405420;28/09/2016;1.2
Piton-Bloc;97405420;29/09/2016;1.3
Piton-Bloc;97405420;30/09/2016;1.3
Piton-Bloc;97405420;01/10/2016;1.2
Piton-Bloc;97405420;02/10/2016;1.0
Piton-Bloc;97405420;03/10/2016;0.9
Piton-Bloc;97405420;04/10/2016;1.2
Piton-Bloc;97405420;05/10/2016;1.1
Piton-Bloc;97405420;06/10/2016;1.3
Piton-Bloc;97405420;07/10/2016;0.9
Piton-Bloc;97405420;08/10/2016;1.0
Piton-Bloc;97405420;09/10/2016;1.5
Piton-Bloc;97405420;10/10/2016;1.1
